Day fraction since midnight on 	pH probe (pH)
0.615016104	5.711212635
0.615027675	5.697489739
0.615039269	5.709805012
0.615050854	5.689790249
0.615062424	5.690274715
0.615073994	5.675527573
0.615085561	5.69720459
0.615097128	5.688005924
0.615108711	5.699460506
0.615120304	5.683258057
0.61513185	5.676411152
0.615143431	5.633990288
0.615155015	5.658381462
0.615166592	5.634439945
0.615178171	5.64542675
0.615189718	5.63112545
0.615201307	5.641610622
0.615212866	5.627149105
0.615224453	5.642737389
0.615236021	5.633860588
0.615247613	5.633378029
0.615259163	5.626171112
0.615270764	5.627696991
0.615282334	5.63658905
0.61529392	5.633387089
0.615305461	5.626683235
0.615317054	5.625339985
0.615328638	5.637052536
0.61534021	5.630815506
0.615351777	5.634197235
0.615363348	5.621198177
0.615374938	5.623317719
0.615386526	5.604251385
0.61539807	5.603673935
0.615409644	5.597537518
0.615421218	5.608737946
0.615432802	5.596783161
0.615444375	5.603150368
0.615455945	5.592695713
0.615467522	5.601145268
0.61547911	5.566021919
0.615490672	5.584392548
0.615502239	5.561450958
0.615513828	5.57204628
0.61552539	5.541160584
0.615536976	5.547544956
0.615548551	5.53730917
0.615560099	5.558279038
0.61557169	5.540320873
0.615583278	5.550706863
0.615594865	5.542823315
0.615606409	5.543676376
0.615617975	5.526937485
0.615629557	5.52985096
0.615641133	5.530395508
0.615652713	5.533329487
0.615664302	5.526420116
0.615675843	5.531236649
0.615687419	5.53711319
0.615698993	5.523379803
0.615710573	5.522535324
0.615722161	5.510197163
0.615733729	5.502702713
0.615745294	5.495722294
0.615756896	5.489523411
0.615768451	5.477584362
0.615780016	5.48367691
0.615791616	5.461293221
0.615803167	5.459675312
0.615814766	5.428955078
0.615826323	5.444404125
0.615837923	5.429766655
0.615849478	5.445008278
0.615861036	5.431364536
0.615872625	5.457056522
0.615884213	5.429533482
0.615895774	5.447285175
0.615907365	5.426996231
0.615918911	5.420067787
0.615930485	5.406009674
0.615942082	5.418776512
0.615953637	5.360311985
0.615965217	5.377736569
0.615976798	5.368999481
0.615988379	5.388470173
0.61599994	5.387818337
0.616011519	5.396288872
0.61602311	5.401565075
0.616034684	5.392041206
0.616046243	5.377937794
0.616057815	5.352035999
0.616069402	5.353235245
0.616080963	5.340682983
0.616092544	5.347238064
0.616104119	5.329267025
0.616115693	5.342642307
0.616127272	5.321219921
0.616138837	5.321556091
0.616150415	5.302758694
0.616161984	5.31035614
0.616173561	5.291311264
0.616185139	5.301771641
0.616196694	5.289156914
0.616208274	5.2864604
0.61621986	5.263709068
0.616231434	5.272829533
0.616242991	5.264118671
0.616254588	5.271333218
0.61626614	5.245687485
0.616277715	5.269807816
0.616289313	5.254108429
0.61630089	5.251959324
0.616312462	5.245026588
0.616324034	5.261071682
0.616335617	5.227374554
0.616347191	5.221073628
0.616358748	5.206505299
0.616370318	5.204251766
0.616381884	5.1897192
0.616393483	5.195669651
0.616405044	5.188132286
0.616416625	5.195845604
0.616428185	5.182960033
0.616439758	5.189728737
0.616451362	5.177361488
0.616462924	5.163343906
0.616474507	5.172180653
0.616486076	5.15504837
0.61649766	5.148400307
0.616509214	5.145196438
0.616520798	5.13139391
0.616532371	5.111477375
0.616543946	5.116113663
0.616555527	5.104372501
0.616567078	5.108951092
0.616578681	5.084467411
0.616590235	5.083872318
0.616601825	5.063131809
0.616613388	5.077251911
0.616624963	5.063336849
0.616636536	5.064825535
0.616648117	5.027044296
0.616659705	5.010667801
0.616671248	5.005507946
0.616682863	5.024583817
0.61669441	5.003492832
0.616705993	5.013253689
0.616717567	4.981682301
0.616729123	4.955004215
0.616740693	4.900527477
0.616752279	4.925273895
0.616763866	4.921513081
0.616775439	4.932246685
0.616787011	4.916926861
0.616798566	4.92581892
0.616810166	4.900228024
0.616821718	4.888875485
0.616833307	4.870811462
0.616844875	4.861581802
0.616856443	4.839310169
0.616868011	4.830564499
0.616879602	4.832341194
0.616891172	4.81802845
0.616902743	4.802985668
0.616914308	4.761262417
0.616925896	4.743716717
0.616937476	4.743053436
0.616949053	4.76624012
0.61696062	4.764533043
0.616972197	4.771600723
0.616983767	4.708584309
0.616995345	4.645699978
0.617006914	4.648211479
0.617018496	4.660906315
0.617030053	4.636804581
0.617041633	4.644121647
0.617053232	4.625089169
0.617064777	4.603304386
0.617076379	4.576484203
0.617087944	4.571721077
0.617099499	4.540378094
0.617111102	4.557810307
0.617122651	4.498567104
0.617134226	4.489429951
0.617145836	4.469572067
0.617157391	4.450683594
0.617168971	4.43471098
0.617180526	4.434174061
0.617192132	4.429033756
0.61720368	4.398794651
0.617215259	4.369623661
0.617226823	4.347980976
0.617238415	4.357857704
0.617249993	4.334508896
0.617261554	4.312020779
0.617273119	4.281134605
0.617284709	4.25295639
0.617296279	4.232206821
0.617307856	4.237774372
0.617319431	4.218831062
0.617331005	4.198305607
0.617342558	4.177424431
0.617354135	4.176617622
0.617365728	4.153852463
0.617377295	4.161983013
0.617388883	4.136707783
0.617400431	4.121912479
0.617412006	4.110857964
0.617423605	4.116753101
0.617435167	4.074863434
0.617446739	4.079150677
0.617458329	4.057416916
0.617469901	4.075557232
0.617481467	4.057095528
0.617493045	4.055281162
0.617504633	4.029295921
0.617516185	4.041321755
0.617527752	4.014614582
0.617539349	4.030044079
0.617550913	3.991131306
0.617562493	3.979278326
0.617574066	3.977654457
0.617585619	3.975963593
0.61759721	3.955671072
0.617608778	3.952338934
0.617620344	3.934317112
0.617631956	3.931482315
0.617643499	3.929165363
0.617655079	3.925011635
0.617666647	3.928702593
0.617678236	3.91350627
0.617689789	3.916773081
0.617701388	3.907406092
0.617712954	3.907711506
0.617724536	3.886332274
0.617736096	3.869344711
0.617747701	3.851769209
0.617759242	3.870014668
0.617770821	3.853372335
0.617782386	3.850749731
0.617793974	3.837851048
0.617805556	3.845674038
0.61781714	3.823450565
0.617828684	3.835259914
0.617840266	3.819158793
0.617851845	3.830402613
0.617863434	3.795960188
0.617874986	3.805593491
0.617886575	3.783826113
0.61789814	3.789074183
0.61790973	3.763582468
0.617921308	3.772154331
0.617932878	3.757360697
0.617944455	3.769367456
0.617956031	3.754022837
0.617967573	3.769119501
0.617979175	3.758440971
0.617990722	3.763396502
0.618002302	3.762608528
0.618013879	3.754996061
0.618025447	4.06567812
0.618037031	3.727072954
0.618048592	3.705461264
0.618060167	3.70847106
0.618071753	3.720169067
0.618083337	3.69425559
0.618094916	3.701165438
0.618106469	3.688363314
0.618118048	3.693063974
0.618129635	3.679289341
0.618141204	3.68588233
0.618152785	3.664986372
0.618164353	3.67636919
0.61817593	3.662541866
0.618187502	3.68278265
0.618199089	3.667379618
0.618210662	3.689960718
0.61822222	3.669812918
0.618233795	3.67872119
0.618245373	3.657977104
0.618256932	3.666251898
0.618268526	3.640221357
0.61828011	3.650233507
0.618291672	3.629809141
0.618303242	3.648646832
0.618314824	3.629953384
0.61832639	3.639472723
0.618337965	3.631798744
0.618349533	3.649084091
0.618361112	3.627973795
0.618372696	3.62776041
0.618384249	3.621282101
0.618395841	3.623688221
0.618407397	3.614931583
0.618418994	3.608838081
0.618430546	3.604462862
0.618442135	3.602827072
0.61845371	3.602892637
0.618465272	3.595796108
0.618476855	3.601956844
0.618488436	3.593536615
0.618499995	3.601193428
0.618511594	3.585396767
0.618523161	3.588979006
0.618534731	3.569705725
0.618546306	3.585452795
0.618557868	3.564958572
0.618569451	3.579324246
0.618581026	3.572331905
0.618592604	3.58946085
0.618604181	3.570539475
